"","TIER_ID","ANNOTATION_ID","ANNOTATION_REF","VALUE","PREVIOUS_ANNOTATION","EXT_REF"
"1495","A_morph-txt-es","ann2127_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2126_flexid_1048ae2d-f2b4-4a41-a0f3-5da475670636","badi",NA,NA
"1496","A_morph-txt-es","ann2138_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2137_flexid_c3c10f72-c76d-44a2-a609-cc1427c1d47d","yani",NA,NA
"1497","A_morph-txt-es","ann2143_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2142_flexid_5fc11601-523c-4774-b3bc-4b640d8bac85","midya",NA,NA
"1498","A_morph-txt-es","ann2151_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2150_flexid_65215c41-125d-4945-8e72-f04a6515f77a","mi",NA,NA
"1499","A_morph-txt-es","ann2157_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2156_flexid_3889fed8-e1ca-4497-a5fb-a9d836f25d61","kia",NA,NA
"1500","A_morph-txt-es","ann2164_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2163_flexid_71001c38-29b8-4f44-b89f-ba1b2c622440","tseda",NA,NA
"1501","A_morph-txt-es","ann2170_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2169_flexid_ce45e408-1cd5-486f-adab-191fde99b8d4","po",NA,NA
"1502","A_morph-txt-es","ann2176_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2175_flexid_abdbc531-cadb-4cdf-a714-e96e11e9a174","awiki",NA,NA
"1503","A_morph-txt-es","ann2180_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2175_flexid_abdbc531-cadb-4cdf-a714-e96e11e9a174","-shodi","ann2176_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1504","A_morph-txt-es","ann2184_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2175_flexid_abdbc531-cadb-4cdf-a714-e96e11e9a174","-tame","ann2180_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1505","A_morph-txt-es","ann2346_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2345_flexid_c3c10f72-c76d-44a2-a609-cc1427c1d47d","yani",NA,NA
"1506","A_morph-txt-es","ann2351_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2350_flexid_75d93b38-8b15-4647-accc-33c5d6623f4c","awiki",NA,NA
"1507","A_morph-txt-es","ann2401_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2400_flexid_7e83ffab-d999-40b2-b18e-89cecf73af4e","di",NA,NA
"1508","A_morph-txt-es","ann2406_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2400_flexid_7e83ffab-d999-40b2-b18e-89cecf73af4e","bo","ann2401_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1509","A_morph-txt-es","ann2410_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2400_flexid_7e83ffab-d999-40b2-b18e-89cecf73af4e","-jae","ann2406_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1510","A_morph-txt-es","ann2414_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2400_flexid_7e83ffab-d999-40b2-b18e-89cecf73af4e","-kata","ann2410_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1511","A_morph-txt-es","ann2418_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2400_flexid_7e83ffab-d999-40b2-b18e-89cecf73af4e","-tsio","ann2414_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1512","A_morph-txt-es","ann2428_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2427_flexid_1048ae2d-f2b4-4a41-a0f3-5da475670636","badi",NA,NA
"1513","A_morph-txt-es","ann2433_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2432_flexid_c2a830a7-90e6-48bd-8b1c-04c77e32a66a","pobea",NA,NA
"1514","A_morph-txt-es","ann2443_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2442_flexid_d20f9b1e-3996-4dba-bf4e-84a1ca0907bd","ajai",NA,NA
"1515","A_morph-txt-es","ann2447_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2442_flexid_d20f9b1e-3996-4dba-bf4e-84a1ca0907bd","-kata","ann2443_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1516","A_morph-txt-es","ann2457_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2456_flexid_56afbef6-eb02-4b66-8b88-6ecc4e3e9c9b","datsio",NA,NA
"1517","A_morph-txt-es","ann2462_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2461_flexid_4ef21e46-6e7e-4544-99f0-dd7c4835b954","neti",NA,NA
"1518","A_morph-txt-es","ann2466_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","ann2461_flexid_4ef21e46-6e7e-4544-99f0-dd7c4835b954","-a","ann2462_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1519","A_morph-txt-es","ann2472_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2471_flexid_3a61294b-91e4-4097-919a-75c2b8415bde","akwi",NA,NA
"1520","A_morph-txt-es","ann2476_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2471_flexid_3a61294b-91e4-4097-919a-75c2b8415bde","shao","ann2472_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1521","A_morph-txt-es","ann2523_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2522_flexid_1f30cd09-8960-4e1f-81f5-ddaa1a3185e7","bado",NA,NA
"1522","A_morph-txt-es","ann2528_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ann2527_flexid_a1b0e7f7-e614-4f5f-a6e3-ec1a1ba7c4e6","batawe",NA,NA
