"","TIER_ID","ANNOTATION_ID","VALUE","t0.id","t0","t1.id","t1","filename","atype","ANNOTATION_REF","PREVIOUS_ANNOTATION","EXT_REF"
"1422","A_morph-txt-es","ann75_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","aná",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann70_flexid_767b7849-7f54-43c1-bbeb-b5cb8bbe6e11","ann71_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1423","A_morph-txt-es","ann80_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","tsio",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann70_flexid_767b7849-7f54-43c1-bbeb-b5cb8bbe6e11","ann75_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1424","A_morph-txt-es","ann90_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann89_flexid_3265e488-fb17-4666-930a-098fee914fad",NA,NA
"1425","A_morph-txt-es","ann95_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ainimetsio",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann94_flexid_45b80c6e-b799-4e2d-b99d-24b45f1f8d07",NA,NA
"1426","A_morph-txt-es","ann106_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ena",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann105_flexid_01f49dae-2962-4ea4-8aa5-61eaa4cee077",NA,NA
"1427","A_morph-txt-es","ann111_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","moa",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann105_flexid_01f49dae-2962-4ea4-8aa5-61eaa4cee077","ann106_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1428","A_morph-txt-es","ann117_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","e-",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann116_flexid_9ab50809-7db7-4c29-9150-54d66ee861af",NA,NA
"1429","A_morph-txt-es","ann121_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","po",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann116_flexid_9ab50809-7db7-4c29-9150-54d66ee861af","ann117_flexid_d7f713db-e8cf-11d3-9764-00c04f186933",NA
"1430","A_morph-txt-es","ann127_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","ena-",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann126_flexid_4619c486-014e-4cbe-ae11-1d4b36399ad0",NA,NA
"1431","A_morph-txt-es","ann131_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","doeteo",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann126_flexid_4619c486-014e-4cbe-ae11-1d4b36399ad0","ann127_flexid_d7f713db-e8cf-11d3-9764-00c04f186933",NA
"1432","A_morph-txt-es","ann141_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","pona",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann140_flexid_f0d1bf67-968d-4455-ac1c-16139681f4bb",NA,NA
"1433","A_morph-txt-es","ann147_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann146_flexid_a1b0e7f7-e614-4f5f-a6e3-ec1a1ba7c4e6",NA,NA
"1434","A_morph-txt-es","ann152_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","shoa",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann151_flexid_04ac1b3c-3ba4-43c7-bd7f-9a7069dc58b0",NA,NA
"1435","A_morph-txt-es","ann156","weze",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann151_flexid_04ac1b3c-3ba4-43c7-bd7f-9a7069dc58b0","ann152_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1436","A_morph-txt-es","ann157_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-neti",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann151_flexid_04ac1b3c-3ba4-43c7-bd7f-9a7069dc58b0","ann156",NA
"1437","A_morph-txt-es","ann179_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","nana",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann178_flexid_aa247038-3f07-444f-87b0-ec85839c5b5f",NA,NA
"1438","A_morph-txt-es","ann183_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-neti",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann178_flexid_aa247038-3f07-444f-87b0-ec85839c5b5f","ann179_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1439","A_morph-txt-es","ann194_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann193_flexid_3265e488-fb17-4666-930a-098fee914fad",NA,NA
"1440","A_morph-txt-es","ann199_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","isha",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann198_flexid_209c1f90-7eb0-46fd-863d-86ebace30378",NA,NA
"1441","A_morph-txt-es","ann205_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","joda",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann204_flexid_db83be37-32ec-4bbb-886c-7961b8f02464",NA,NA
"1442","A_morph-txt-es","ann210_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","wada",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann209_flexid_4a2cb79c-ad8d-4a47-a2b5-ccb4e227972d",NA,NA
"1443","A_morph-txt-es","ann215_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann214_flexid_3265e488-fb17-4666-930a-098fee914fad",NA,NA
"1444","A_morph-txt-es","ann227_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dona",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann226_flexid_b2e5a3ba-417c-4364-9abe-1a92e72a3fe6",NA,NA
"1445","A_morph-txt-es","ann231_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","na",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann226_flexid_b2e5a3ba-417c-4364-9abe-1a92e72a3fe6","ann227_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1446","A_morph-txt-es","ann235_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-ta",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann226_flexid_b2e5a3ba-417c-4364-9abe-1a92e72a3fe6","ann231_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1447","A_morph-txt-es","ann239_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-ni",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann226_flexid_b2e5a3ba-417c-4364-9abe-1a92e72a3fe6","ann235_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933",NA
"1448","A_morph-txt-es","ann244_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann243_flexid_a1b0e7f7-e614-4f5f-a6e3-ec1a1ba7c4e6",NA,NA
"1449","A_morph-txt-es","ann254_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","corriente",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann253_flexid_5c74a608-2fa9-4fbb-9f96-2c6d95c984e1",NA,NA
"1450","A_morph-txt-es","ann259_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batae",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann258_flexid_bf69bfad-3828-4a04-b266-557dfdb821ac",NA,NA
"1451","A_morph-txt-es","ann286_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","bime",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann285_flexid_f237a858-ff1e-400d-b9cc-c58988b7bc34",NA,NA
"1452","A_morph-txt-es","ann293_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","pona",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann292_flexid_f0d1bf67-968d-4455-ac1c-16139681f4bb",NA,NA
"1453","A_morph-txt-es","ann299_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann298_flexid_a1b0e7f7-e614-4f5f-a6e3-ec1a1ba7c4e6",NA,NA
"1454","A_morph-txt-es","ann304_flexid_d7f713db-e8cf-11d3-9764-00c04f186933","e-",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann303_flexid_360c60eb-672a-40bb-bc44-5857dc3380dc",NA,NA
"1455","A_morph-txt-es","ann308_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","shoa",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann303_flexid_360c60eb-672a-40bb-bc44-5857dc3380dc","ann304_flexid_d7f713db-e8cf-11d3-9764-00c04f186933",NA
"1456","A_morph-txt-es","ann312_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","beneje",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann303_flexid_360c60eb-672a-40bb-bc44-5857dc3380dc","ann308_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1457","A_morph-txt-es","ann318_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","bime",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann317_flexid_f237a858-ff1e-400d-b9cc-c58988b7bc34",NA,NA
"1458","A_morph-txt-es","ann346_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","sicha",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann345_flexid_62be58de-f545-48ce-b734-42617516370e",NA,NA
"1459","A_morph-txt-es","ann351_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","beneje",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann350_flexid_2c2db317-2db0-4b67-85ec-cb98c1e2148e",NA,NA
"1460","A_morph-txt-es","ann357_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","sicha",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann356_flexid_c1c043c8-7ef8-4978-b895-4732ceccfa69",NA,NA
"1461","A_morph-txt-es","ann361_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-e",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann356_flexid_c1c043c8-7ef8-4978-b895-4732ceccfa69","ann357_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1462","A_morph-txt-es","ann367_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","jai",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann366_flexid_bf55ccf6-04cc-4ed3-853d-8d77e980e8d4",NA,NA
"1463","A_morph-txt-es","ann373_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","batawe",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann372_flexid_a1b0e7f7-e614-4f5f-a6e3-ec1a1ba7c4e6",NA,NA
"1464","A_morph-txt-es","ann505_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipa",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann504_flexid_16cc16e2-cd35-464d-8e85-115a437b413f",NA,NA
"1465","A_morph-txt-es","ann510_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","yama",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann509_flexid_111436d0-0fbc-4782-9540-5734da9c2814",NA,NA
"1466","A_morph-txt-es","ann515_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ba",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann514_flexid_515df655-cc14-4324-902a-3bdf46297601",NA,NA
"1467","A_morph-txt-es","ann520_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-iki",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann514_flexid_515df655-cc14-4324-902a-3bdf46297601","ann515_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1468","A_morph-txt-es","ann526_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","keoli",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann525_flexid_22e17d17-608a-462a-9564-05aa72736e94",NA,NA
"1469","A_morph-txt-es","ann537_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","jododo",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann536_flexid_3c72b5d3-1f2b-4c89-ba8a-da04e9daf463",NA,NA
"1470","A_morph-txt-es","ann547_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","laijiji",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann546_flexid_1213e3ef-3322-4304-9a1f-a6d96b8fa248",NA,NA
"1471","A_morph-txt-es","ann552_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","beneje",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann546_flexid_1213e3ef-3322-4304-9a1f-a6d96b8fa248","ann547_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1472","A_morph-txt-es","ann580_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","dipa",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann579_flexid_16cc16e2-cd35-464d-8e85-115a437b413f",NA,NA
"1473","A_morph-txt-es","ann585_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","ba",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann584_flexid_515df655-cc14-4324-902a-3bdf46297601",NA,NA
"1474","A_morph-txt-es","ann590_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933","-iki",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann584_flexid_515df655-cc14-4324-902a-3bdf46297601","ann585_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933",NA
"1475","A_morph-txt-es","ann601_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933","joda",NA,NA,NA,NA,"ara_2613_glossed_2.eaf","REF","ann600_flexid_db83be37-32ec-4bbb-886c-7961b8f02464",NA,NA
